名称,大类,中类,经度,纬度,省份,城市,区域
武汉金楠雅园金丝楠木博物馆,科教文化,博物馆,114.235059,30.319523,湖北省,武汉市,江夏区
湖北明清古建筑博物馆,科教文化,博物馆,114.476155,31.092153,湖北省,武汉市,黄陂区
木兰山地质博物馆,科教文化,博物馆,114.38946,31.097804,湖北省,武汉市,黄陂区
武汉侏儒山战役博物馆,科教文化,博物馆,113.827,30.446989,湖北省,武汉市,蔡甸区
江城紫砂艺术馆,科教文化,博物馆,113.965998,30.512481,湖北省,武汉市,蔡甸区
蔡甸莲藕博物馆,科教文化,博物馆,113.92692,30.53857,湖北省,武汉市,蔡甸区
黄花涝文博馆,科教文化,博物馆,114.194406,30.719916,湖北省,武汉市,黄陂区
武汉长庭陶瓷博物馆,科教文化,博物馆,114.207885,30.376761,湖北省,武汉市,江夏区
石门峰博物馆,科教文化,博物馆,114.477528,30.515023,湖北省,武汉市,洪山区
长江书法博物院,科教文化,博物馆,114.519898,30.507092,湖北省,武汉市,江夏区
武汉云起草堂文化传媒有限责任公司,科教文化,博物馆,114.840328,30.871091,湖北省,武汉市,新洲区
中山舰博物馆,科教文化,博物馆,114.134269,30.344823,湖北省,武汉市,江夏区
没有共产党就没有新中国百年报刊馆,科教文化,博物馆,114.079347,30.54064,湖北省,武汉市,蔡甸区
藏龙博物馆,科教文化,博物馆,114.423292,30.393167,湖北省,武汉市,江夏区
中南民族大学民族学博物馆,科教文化,博物馆,114.389075,30.482968000000003,湖北省,武汉市,洪山区
酶法多肽博物馆,科教文化,博物馆,114.544198,30.478804,湖北省,武汉市,江夏区
光谷教育发展研究院,科教文化,博物馆,114.485844,30.503863,湖北省,武汉市,洪山区
博物馆,科教文化,博物馆,114.365616,30.561979,湖北省,武汉市,武昌区
博物馆综合展馆-讲解服务联系处,科教文化,博物馆,114.365949,30.561248,湖北省,武汉市,武昌区
张之洞与武汉博物馆,科教文化,博物馆,114.243216,30.558979,湖北省,武汉市,汉阳区
琴台钢琴博物馆,科教文化,博物馆,114.260078,30.56043,湖北省,武汉市,汉阳区
武汉大禹文化博物馆,科教文化,博物馆,114.284325,30.555836,湖北省,武汉市,汉阳区
武汉天人合一奇石博物馆,科教文化,博物馆,114.300255,30.554162,湖北省,武汉市,武昌区
黎黄陂路街头博物馆,科教文化,博物馆,114.302349,30.58653,湖北省,武汉市,江岸区
艺舒文艺画馆,科教文化,博物馆,114.237294,30.602462,湖北省,武汉市,江汉区
中国油脂博物馆,科教文化,博物馆,114.220743,30.652745,湖北省,武汉市,东西湖区
新洲博物馆,科教文化,博物馆,114.818856,30.844473,湖北省,武汉市,新洲区
易家人,科教文化,博物馆,114.152826,30.555853,湖北省,武汉市,汉阳区
军恋博物馆,科教文化,博物馆,114.410954,30.398112,湖北省,武汉市,江夏区
武汉地质调查中心龙化石博物馆,科教文化,博物馆,114.421594,30.459190000000003,湖北省,武汉市,江夏区
中南财经政法大学中国货币金融历史博物馆,科教文化,博物馆,114.385077,30.473397,湖北省,武汉市,江夏区
华中农业大学博物馆,科教文化,博物馆,114.357676,30.476087,湖北省,武汉市,洪山区
竹韵堂竹雕博物馆,科教文化,博物馆,114.283026,30.55371,湖北省,武汉市,汉阳区
武汉汉绣博物馆,科教文化,博物馆,114.246348,30.530192,湖北省,武汉市,汉阳区
高龙博物馆,科教文化,博物馆,114.247897,30.529388,湖北省,武汉市,汉阳区
高龙博古城,科教文化,博物馆,114.246583,30.53029,湖北省,武汉市,汉阳区
华中师范大学文物馆,科教文化,博物馆,114.360734,30.520186,湖北省,武汉市,洪山区
中国地质大学逸夫博物馆,科教文化,博物馆,114.40043,30.517706,湖北省,武汉市,洪山区
水生生物博物馆,科教文化,博物馆,114.355835,30.545213,湖北省,武汉市,武昌区
佳和艺术博物馆,科教文化,博物馆,114.365043,30.566237,湖北省,武汉市,武昌区
武汉凡氏老相机博物馆,科教文化,博物馆,114.33564,30.594879,湖北省,武汉市,武昌区
达临性学博物馆,科教文化,博物馆,114.262237,30.600187,湖北省,武汉市,江汉区
横渡长江博物馆,科教文化,博物馆,114.307097,30.590504,湖北省,武汉市,江岸区
武汉博物馆,科教文化,博物馆,114.256928,30.61144,湖北省,武汉市,江汉区
武汉中部兰亭艺术博物馆,科教文化,博物馆,114.197181,30.608143,湖北省,武汉市,硚口区
参差咖啡博物馆,科教文化,博物馆,114.225013,30.619544,湖北省,武汉市,硚口区
长江非遗博物馆,科教文化,博物馆,114.224563,30.62083,湖北省,武汉市,硚口区
中国武钢博物馆,科教文化,博物馆,114.405365,30.629705,湖北省,武汉市,青山区
刘士标剪纸艺术博物馆,科教文化,博物馆,114.396745,30.642373000000003,湖北省,武汉市,青山区
汉口商业博物馆,科教文化,博物馆,114.325213,30.706147,湖北省,武汉市,黄陂区
谭茂林文化传媒,科教文化,博物馆,114.257021,30.709515000000003,湖北省,武汉市,黄陂区
湖北黄陂扬楼子老榨坊博物馆,科教文化,博物馆,114.259871,30.708154,湖北省,武汉市,黄陂区
硚口民族工业博物馆,科教文化,博物馆,114.191081,30.606375,湖北省,武汉市,硚口区
博物馆,科教文化,博物馆,114.315284,30.347165,湖北省,武汉市,江夏区
辛亥革命博物馆,科教文化,博物馆,114.305421,30.537463,湖北省,武汉市,武昌区
辛亥革命博物院,科教文化,博物馆,114.306795,30.542123,湖北省,武汉市,武昌区
翟雅阁博物馆,科教文化,博物馆,114.314995,30.550335,湖北省,武汉市,武昌区
昙华林近代教育博物馆,科教文化,博物馆,114.313533,30.551493,湖北省,武汉市,武昌区
武汉楚上艺术空间,科教文化,博物馆,114.310106,30.552586,湖北省,武汉市,武昌区
武汉革命博物馆,科教文化,博物馆,114.300659,30.553384,湖北省,武汉市,武昌区
户部巷博物馆,科教文化,博物馆,114.298629,30.554101000000003,湖北省,武汉市,武昌区
武汉槐川博物馆,科教文化,博物馆,114.373187,30.518334,湖北省,武汉市,洪山区
藏拙藏式文化生活馆,科教文化,博物馆,114.371407,30.51698,湖北省,武汉市,洪山区
科技企业孵化器博物馆,科教文化,博物馆,114.415929,30.500207000000003,湖北省,武汉市,洪山区
武汉星空失恋博物馆,科教文化,博物馆,114.409,30.501152,湖北省,武汉市,洪山区
华中师范大学生物博物馆,科教文化,博物馆,114.358155,30.520836,湖北省,武汉市,洪山区
湖北钱币博物馆,科教文化,博物馆,114.334952,30.543295,湖北省,武汉市,武昌区
武汉牙齿博物馆,科教文化,博物馆,114.243455,30.575295,湖北省,武汉市,硚口区
江汉关博物馆,科教文化,博物馆,114.297343,30.575629,湖北省,武汉市,江汉区
纽设设计,科教文化,博物馆,114.29679,30.583045,湖北省,武汉市,江岸区
詹天佑故居博物馆,科教文化,博物馆,114.299566,30.585667,湖北省,武汉市,江岸区
电力博物馆,科教文化,博物馆,114.298587,30.585007,湖北省,武汉市,江岸区
荆楚金石博物馆,科教文化,博物馆,114.268404,30.601977,湖北省,武汉市,江汉区
武汉记忆·唐朝阁楼博物馆,科教文化,博物馆,114.300564,30.588826,湖北省,武汉市,江岸区
LAP画廊,科教文化,博物馆,114.287358,30.593256,湖北省,武汉市,江岸区
钻石艺术博物馆,科教文化,博物馆,114.312863,30.606291,湖北省,武汉市,江岸区
博物馆,科教文化,博物馆,114.380757,30.87228,湖北省,武汉市,黄陂区
问津春秋博物馆,科教文化,博物馆,114.799102,30.846325,湖北省,武汉市,新洲区
博物馆,科教文化,博物馆,114.086206,30.316017,湖北省,武汉市,汉南区
武汉三尤酒瓶博物馆,科教文化,博物馆,114.148232,30.619589,湖北省,武汉市,东西湖区
博物馆,科教文化,博物馆,114.02899,30.583011,湖北省,武汉市,蔡甸区
王德树农民书法艺术博物馆,科教文化,博物馆,114.129766,30.622597000000003,湖北省,武汉市,东西湖区
武汉爱情博物馆,科教文化,博物馆,114.29252,30.577442,湖北省,武汉市,江汉区
永康里街头博物馆,科教文化,博物馆,114.290001,30.57781,湖北省,武汉市,江汉区
造物生态公园,科教文化,博物馆,114.288773,30.585636,湖北省,武汉市,江岸区
湖北地质博物馆,科教文化,博物馆,114.267613,30.579219,湖北省,武汉市,江汉区
糖果达令,科教文化,博物馆,114.356556,30.526616,湖北省,武汉市,洪山区
