名称,大类,中类,经度,纬度,省份,城市,区域
石门小区,商务住宅,住宅区,114.30344,31.146624,湖北省,武汉市,黄陂区
天池雅园,商务住宅,住宅区,114.302442,31.144924,湖北省,武汉市,黄陂区
泥人王村,商务住宅,住宅区,114.212929,31.12525,湖北省,武汉市,黄陂区
双塔社区,商务住宅,住宅区,113.779926,30.235464,湖北省,武汉市,汉南区
纱帽镇东荆街沟北小区,商务住宅,住宅区,113.928867,30.309473,湖北省,武汉市,汉南区
东荆街三眼桥小区,商务住宅,住宅区,113.922183,30.342222,湖北省,武汉市,汉南区
西河公馆,商务住宅,住宅区,113.71958,30.406364,湖北省,武汉市,蔡甸区
香妃湖小区,商务住宅,住宅区,113.951851,30.370611,湖北省,武汉市,蔡甸区
洪北怡康园,商务住宅,住宅区,113.856346,30.368868000000003,湖北省,武汉市,蔡甸区
巨龙社区,商务住宅,住宅区,114.074293,30.754615,湖北省,武汉市,东西湖区
祝杨区,商务住宅,住宅区,114.511812,30.005393,湖北省,武汉市,江夏区
光星二小社区,商务住宅,住宅区,114.365001,30.091311,湖北省,武汉市,江夏区
未来家园现代农业园,商务住宅,住宅区,114.493452,30.123762,湖北省,武汉市,江夏区
乌龙泉小区,商务住宅,住宅区,114.326345,30.259822,湖北省,武汉市,江夏区
乌龙泉社区便民服务运营中心,商务住宅,住宅区,114.325914,30.259784,湖北省,武汉市,江夏区
照耀还建社区,商务住宅,住宅区,114.372542,30.301635,湖北省,武汉市,江夏区
梁湖世家,商务住宅,住宅区,114.428509,30.308742,湖北省,武汉市,江夏区
恒大科技旅游城,商务住宅,住宅区,114.38077,30.309445,湖北省,武汉市,江夏区
大悦城•航天悦府,商务住宅,住宅区,114.697258,30.59729,湖北省,武汉市,新洲区
宝业航天府3期,商务住宅,住宅区,114.69744,30.598465,湖北省,武汉市,新洲区
孔雀城航天府滨江园,商务住宅,住宅区,114.701306,30.601061,湖北省,武汉市,新洲区
花艺新村,商务住宅,住宅区,114.255715,30.438414,湖北省,武汉市,洪山区
绿地大都会,商务住宅,住宅区,114.227675,30.434556,湖北省,武汉市,洪山区
大华公园城市,商务住宅,住宅区,114.221778,30.427427,湖北省,武汉市,洪山区
鄂旅投·书院世家,商务住宅,住宅区,114.253729,30.426867,湖北省,武汉市,洪山区
万科保利理想城市,商务住宅,住宅区,114.218661,30.423548,湖北省,武汉市,洪山区
DE未来港,商务住宅,住宅区,114.242399,30.453879,湖北省,武汉市,洪山区
菱湖美景,商务住宅,住宅区,114.237306,30.442244,湖北省,武汉市,洪山区
十一村一场2期还建房,商务住宅,住宅区,114.233843,30.439799,湖北省,武汉市,洪山区
南益名悦华府,商务住宅,住宅区,114.232369,30.435868,湖北省,武汉市,洪山区
武汉龙泉公寓,商务住宅,住宅区,114.539337,30.384999,湖北省,武汉市,江夏区
龙泉小区,商务住宅,住宅区,114.538942,30.381079,湖北省,武汉市,江夏区
新希望·锦粼九里,商务住宅,住宅区,114.500082,30.449669,湖北省,武汉市,江夏区
黄金堂,商务住宅,住宅区,114.55315,30.454062,湖北省,武汉市,江夏区
豹澥黄金堂小区,商务住宅,住宅区,114.55294,30.453945,湖北省,武汉市,江夏区
葛化街白浒小区,商务住宅,住宅区,114.605663,30.539035,湖北省,武汉市,洪山区
孙庙湾,商务住宅,住宅区,114.633853,30.586475,湖北省,武汉市,新洲区
