名称,大类,中类,经度,纬度,省份,城市,区域
智造未来主题馆,购物消费,百货商场,114.15006,30.3932,湖北省,武汉市,蔡甸区
世茂·天街,购物消费,百货商场,114.317519,30.449027,湖北省,武汉市,洪山区
跨境购品源生活广场,购物消费,百货商场,114.48662,30.434338,湖北省,武汉市,江夏区
天立枭鹏广场,购物消费,百货商场,114.43088,30.585823,湖北省,武汉市,洪山区
百尚购物广场,购物消费,百货商场,114.408312,30.719991,湖北省,武汉市,黄陂区
阳光购物广场,购物消费,百货商场,114.618225,30.788747,湖北省,武汉市,新洲区
华一兄弟时尚生活馆,购物消费,百货商场,114.278172,30.781896,湖北省,武汉市,黄陂区
罗汉商业广场,购物消费,百货商场,114.306617,30.954337,湖北省,武汉市,黄陂区
PHOENIX MALL,购物消费,百货商场,114.064581,30.335744,湖北省,武汉市,汉南区
绿地城欧镇OUTLETS,购物消费,百货商场,114.063444,30.335607,湖北省,武汉市,汉南区
江夏永旺·美联商业综合体,购物消费,百货商场,114.31639,30.396168,湖北省,武汉市,江夏区
罗马春天OUTLETS,购物消费,百货商场,114.370172,30.386551,湖北省,武汉市,江夏区
罗马春天潮流广场,购物消费,百货商场,114.370246,30.385628,湖北省,武汉市,江夏区
柒号广场,购物消费,百货商场,114.317911,30.409725,湖北省,武汉市,江夏区
供销商业广场,购物消费,百货商场,114.45416,30.440116,湖北省,武汉市,江夏区
Mountain Bike,购物消费,百货商场,114.491277,30.466731,湖北省,武汉市,洪山区
左岭商城,购物消费,百货商场,114.621418,30.489808,湖北省,武汉市,洪山区
福星惠誉福莱中心,购物消费,百货商场,114.320428,30.567371,湖北省,武汉市,武昌区
WPT·SHOW,购物消费,百货商场,114.395212,30.709141,湖北省,武汉市,黄陂区
华商平价广场,购物消费,百货商场,114.602987,30.832941,湖北省,武汉市,新洲区
仓埠商业广场,购物消费,百货商场,114.603711,30.834246,湖北省,武汉市,新洲区
德成·汉南广场,购物消费,百货商场,114.071837,30.306907,湖北省,武汉市,汉南区
永安华贸商业广场,购物消费,百货商场,113.937598,30.457152,湖北省,武汉市,蔡甸区
经发进口商品交易中心,购物消费,百货商场,114.151886,30.476319,湖北省,武汉市,蔡甸区
全能通生活广场,购物消费,百货商场,114.176787,30.673329000000003,湖北省,武汉市,东西湖区
红星美凯龙红霞商业广场,购物消费,百货商场,114.262311,30.414959,湖北省,武汉市,洪山区
齐乐城时尚广场,购物消费,百货商场,114.331707,30.358785,湖北省,武汉市,江夏区
生活广场,购物消费,百货商场,114.371702,30.41043,湖北省,武汉市,江夏区
金橙里,购物消费,百货商场,114.436737,30.447307,湖北省,武汉市,江夏区
金融港广场,购物消费,百货商场,114.429539,30.45424,湖北省,武汉市,江夏区
铁建商城华中店,购物消费,百货商场,114.391698,30.447011,湖北省,武汉市,江夏区
购物生态公园,购物消费,百货商场,114.409342,30.459176,湖北省,武汉市,江夏区
红枫维龙广场,购物消费,百货商场,114.409597,30.484701,湖北省,武汉市,洪山区
东澜岸广场,购物消费,百货商场,114.263858,30.43315,湖北省,武汉市,洪山区
金色城市,购物消费,百货商场,114.26213,30.483378,湖北省,武汉市,洪山区
星空微尘数字商城,购物消费,百货商场,114.452293,30.419232,湖北省,武汉市,江夏区
嘉园·印象里广场,购物消费,百货商场,114.445498,30.50021,湖北省,武汉市,洪山区
嘉园印象里,购物消费,百货商场,114.445982,30.4999,湖北省,武汉市,洪山区
丽红购物中心,购物消费,百货商场,114.485436,30.606938,湖北省,武汉市,青山区
丽红超级市场,购物消费,百货商场,114.486306,30.607374,湖北省,武汉市,青山区
季佳荟,购物消费,百货商场,114.303406,30.503449,湖北省,武汉市,洪山区
义乌商贸城,购物消费,百货商场,114.307927,30.521559,湖北省,武汉市,武昌区
唔哈生活,购物消费,百货商场,114.20467,30.532984,湖北省,武汉市,汉阳区
季佳·里美好广场,购物消费,百货商场,114.247918,30.538798,湖北省,武汉市,汉阳区
季佳·里汉桥小镇,购物消费,百货商场,114.228034,30.548576,湖北省,武汉市,汉阳区
武商量贩,购物消费,百货商场,114.232935,30.551304,湖北省,武汉市,汉阳区
狮城汇,购物消费,百货商场,114.349564,30.50821,湖北省,武汉市,洪山区
狮城名居生活广场,购物消费,百货商场,114.349611,30.509347,湖北省,武汉市,洪山区
欢乐汇,购物消费,百货商场,114.339765,30.506187,湖北省,武汉市,洪山区
长江崇文广场,购物消费,百货商场,114.342412,30.510195000000003,湖北省,武汉市,洪山区
永丰广场A座,购物消费,百货商场,114.415037,30.516082,湖北省,武汉市,洪山区
华中科技大学万品汇广场,购物消费,百货商场,114.416014,30.516332,湖北省,武汉市,洪山区
东方里,购物消费,百货商场,114.383466,30.590115,湖北省,武汉市,洪山区
匠心汇,购物消费,百货商场,114.381639,30.590416,湖北省,武汉市,洪山区
保利悦荟,购物消费,百货商场,114.359694,30.595321,湖北省,武汉市,洪山区
和平大世界8-14城,购物消费,百货商场,114.355756,30.612185,湖北省,武汉市,武昌区
和平大世界8-8城,购物消费,百货商场,114.354945,30.611539,湖北省,武汉市,武昌区
和平大世界8-17城,购物消费,百货商场,114.353036,30.611317,湖北省,武汉市,武昌区
和平大世界8-11城,购物消费,百货商场,114.353521,30.610547,湖北省,武汉市,武昌区
和平大世界8-16城,购物消费,百货商场,114.354719,30.612147,湖北省,武汉市,武昌区
